GPA,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
3.3,0,0,0,0,0,0,0,6864,551376,1130304,3906,0,0,0,0,0,0,0,0,0,0
3.35,0,0,0,0,0,0,0,96,180072,1785552,201342,6492,0,0,0,0,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,6456,526608,607446,67314,0,0,0,0,0,0,0,0,0
3.45,0,0,0,0,0,0,0,0,144,89064,1612422,585180,2556,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,192,978768,892152,49764,0,0,0,0,0,0,0,0
3.55,0,0,0,0,0,0,0,0,0,0,649818,1559364,632712,32496,0,0,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0,0,82614,672972,1094136,272736,0,0,0,0,0,0,0
3.65,0,0,0,0,0,0,0,0,0,0,10824,333804,1724208,1528320,27264,0,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0,0,36,27684,510516,1313568,398688,0,0,0,0,0,0
3.75,0,0,0,0,0,0,0,0,0,0,0,2238,131244,914928,2071200,254016,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0,0,0,0,2064,84768,1516896,2132160,132480,0,0,0,0
3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,384,130848,1375872,1572480,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,383616,2407680,317952,0,0,0
3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,34560,2681856,691200,0,0
4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147392,3456000,4147200,4147200
